title,title1,artist,artistdetails,date,medium,accession,view,date1,date2,date3,date4,newdate2,newdate3,newdate21,newdate,newdate22,flag,artist_met,met
"Torso, Navel, Mustache-Flower","Torso, Navel, Mustache-Flower",Jean Arp,"(French (born Germany), Strasbourg 1886–1966 Basel)",Date: 1930,Medium: Oil on wood relief,Accession Number: 2006.32.1,On view in Gallery 913,Date:,1930,,,1930,,1930,1930,,,Jean Arp,1
Composition with Five Nudes,Composition with Five Nudes,Jean Arp,"(French (born Germany), Strasbourg 1886–1966 Basel)",Date: 1912,Medium: Oil on canvas,Accession Number: 1992.110,Not on view,Date:,1912,,,1912,,1912,1912,,,Jean Arp,1
The Terrace at Vernonnet,The Terrace at Vernonnet,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1939,Medium: Oil on canvas,Accession Number: 68.1,Not on view,Date:,1939,,,1939,,1939,1939,,,Pierre Bonnard,1
"View of The Old Port, Saint-Tropez","View of The Old Port, Saint-Tropez",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1911,Medium: Oil on canvas,Accession Number: 1984.433.1,Not on view,Date:,1911,,,1911,,1911,1911,,,Pierre Bonnard,1
The Green Blouse ,The Green Blouse,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1919,Medium: Oil on canvas,Accession Number: 63.64,On view in Gallery 828,Date:,1919,,,1919,,1919,1919,,,Pierre Bonnard,1
The Family of Claude Terrasse ,The Family of Claude Terrasse,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1899,Medium: Oil on canvas,Accession Number: 65.250,Not on view,Date:,1899,,,1899,,1899,1899,,,Pierre Bonnard,1
"Village Scene, Grasse ","Village Scene, Grasse",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1912,Medium: Oil on canvas,Accession Number: 1984.433.2,Not on view,Date:,1912,,,1912,,1912,1912,,,Pierre Bonnard,1
The Dressing Room,The Dressing Room,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1914,Medium: Oil on canvas,Accession Number: 1984.433.3,On view in Gallery 828,Date:,1914,,,1914,,1914,1914,,,Pierre Bonnard,1
The Children&#39;s Meal,The Children's Meal,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1895,"Medium: Oil on cardboard, mounted on wood",Accession Number: 1999.180.1,On view in Gallery 828,Date:,1895,,,1895,,1895,1895,,,Pierre Bonnard,1
"Street Scene, Place Clichy ","Street Scene, Place Clichy",Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1895,Medium: Oil on cardboard,Accession Number: 1999.363.4,On view in Gallery 904,Date:,1895,,,1895,,1895,1895,,,Pierre Bonnard,1
Landscape in the South (Le Cannet),Landscape in the South (Le Cannet),Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1943,Medium: Oil on canvas,Accession Number: 1975.1.158,On view in Gallery 961,Date:,ca.,1943,,1943,1943,1943,1943,,,Pierre Bonnard,1
Woman with Mimosa,Woman with Mimosa,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1924,Medium: Oil on canvas,Accession Number: 1978.264.8,On view in Gallery 828,Date:,1924,,,1924,,1924,1924,,,Pierre Bonnard,1
After the Bath ,After the Bath,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1910,Medium: Oil on canvas,Accession Number: 1999.363.5,On view in Gallery 905,Date:,1910,,,1910,,1910,1910,,,Pierre Bonnard,1
Poppies in a Vase ,Poppies in a Vase,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: 1926,Medium: Oil on canvas,Accession Number: 1999.363.8,Not on view,Date:,1926,,,1926,,1926,1926,,,Pierre Bonnard,1
Garden,Garden,Pierre Bonnard,"(French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Date: ca. 1935,Medium: Oil on canvas,Accession Number: 2003.20.16,On view in Gallery 823,Date:,ca.,1935,,1935,1935,1935,1935,,,Pierre Bonnard,1
