year,paint_date,height,width,artist,artist_met,aic,louvre,orsay,met,birth1
1977,1947,152.4,101.6,"Ad Reinhardt (b. 1913, d. 1967)",,1,0,0,0,1913
1971,1962,152.4,152.4,"Ad Reinhardt (b. 1913, d. 1967)",,1,0,0,0,1913
1927-1928,1942,137.2,101.9,"Adolph Gottlieb (b. 1903, d. 1974)",,1,0,0,0,1903
1946-1947,1962,213.4,228,"Adolph Gottlieb (b. 1903, d. 1974)",,1,0,0,0,1903
1940-1942,1977,182.9,182.9,"Agnes Martin (b. 1912, d. 2004)",,1,0,0,0,1912
1946,1971,101.6,73.7,"Alice Neel (b. 1900, d. 1984)",,1,0,0,0,1900
1906,1906,81,100.6,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,0,0,1,0,1880
1927,1904,24.5,19.5,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,0,0,1,0,1880
1911,1910,54.8,76.4,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
late 1920s,1922,58.75,71.4,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1930,1923,25,44.1,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1906,1923,27.6,34.9,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1880-1928,1911,227.3,288.29,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1910,1927,45.6,37,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1928,1930,37.8,55,"Andre Derain (b. 1880, d. 1954)",Andr_ Derain,1,0,0,0,1880
1882,1872,55.5,40.5,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1874,1873,60,73.5,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1876,1881,79,72,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1860,1880,16.9,21.9,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1878-1879,1882,54.5,35,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1848-1883,1874,61,50.5,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1879-1889,1876,53,64,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1873,1860,110,90,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1876,1878,77,64.5,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
1863,1872,61,73.2,"Andre Masson (b. 1896, d. 1987)",,1,0,0,0,1896
