artist,datestring,house,title,auction_name_lot,hammer,pdate,date,low_est,high_est,nomprice,lot_no,curr,paint_date,saleyear,cpi,saleprice,birth1,age,american,area,omeana,larea,father,mother,wife1,wife2,child1,child2,friend1,friend2,friend3,brother,sister
.,,,,,,,,,,,,,,,,,,,0,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",2/5/2004,Christie's London,Abstraction,Post-War & Contemporary Art - Day Sale (Lot 166),Hammer,1940 Paintings,16106,25729,33080,44107,166,USD,1940,2004,1.1543462,50914.75,1913,27,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/15/1998,Sotheby's New York,Abstraction,"Contemporary Art, Part II (Lot 82)",Hammer,1940 Paintings,14014,15000,20000,30000,82,USD,1940,1998,1.3377669,40133.008,1913,27,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/20/1997,Sotheby's New York,Untitled,Contemporary Art (Part II) (Lot 71),Hammer,1940 Paintings,13838,15000,20000,50000,,USD,1940,1997,1.3586043,67930.219,1913,27,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/2/1994,Sotheby's New York,Dark Symbol,Contemporary Art - Part II (Lot 83),Hammer,1941 Paintings,12724,,,32500,83,USD,1941,1994,1.4713631,47819.301,1913,28,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/11/2005,Sotheby's New York,Romantic abstraction,Contemporary Art - Morning (Lot 115),Hammer,1941 Paintings,16567,20000,30000,27500,115,USD,1941,2005,1.1165181,30704.248,1913,28,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",2/27/1981,Sotheby's New York,Dark symbol,(Lot 112),Hammer,1941 Paintings,7728,,,4000,112,USD,1941,1981,2.3988559,9595.4238,1913,28,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/15/2012,Christie's New York,Untitled,Post-War & Contemporary Morning Session (Lot 147),Premium,1941 Paintings,19312,200000,300000,338500,147,USD,1941,2012,.94974607,321489.03,1913,28,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/12/1991,Christie's New York,Abstract painting,Contemporary Art including selection from Tremaine Collection (Lot 6),Hammer,1941 Paintings,11638,,,180000,6,USD,1941,1991,1.6009985,288179.72,1913,28,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/16/2006,Christie's New York,Abstract painting,Post-War & Contemporary Art - Morning Session (Lot 128),Hammer,1943 Paintings,17121,100000,150000,320000,128,USD,1943,2006,1.081627,346120.66,1913,30,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/12/2009,Sotheby's New York,Abstract Painting No. 11,"Contemporary Art, Day (Lot 107)",Premium,1943 Paintings,18213,150000,200000,230500,107,USD,1943,2009,1.0164027,234280.83,1913,30,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",12/4/2012,"Artcurial - Briest, Poulain, F. Tajan Paris",Romantic abstraction,Art contemporain 1 (Lot 96),,Circa 1944 Paintings,19331,104840,157260,,96,USD,1944,2012,.94974607,,1913,31,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/14/2014,Christie's New York,Romantic Abstraction,Post-War and Contemporary Morning Session (Lot 104),,1944 Paintings,19857,60000,80000,,104,USD,1944,2014,.91658682,,1913,31,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/16/2006,Christie's New York,Yellow painting,Post-War & Contemporary Art - Morning Session (Lot 129),Hammer,1945 Paintings,17121,80000,120000,420000,129,USD,1945,2006,1.081627,454283.34,1913,32,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",2/27/1985,Sotheby's New York,Yellow painting,(Lot 25),Hammer,1946 Paintings,9189,,,10500,25,USD,1946,1985,2.0265427,21278.697,1913,33,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/11/2006,Sotheby's New York,Composition,Contemporary Art - Morning Sale (Lot 134),Hammer,1946 Paintings,16932,150000,200000,160000,134,USD,1946,2006,1.081627,173060.33,1913,33,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/15/2003,Christie's New York,Number 4,Post-War & Contemporary Art - Morning Sale (Lot 108),Hammer,1946 Paintings,15840,70000,90000,80000,108,USD,1946,2003,1.185087,94806.961,1913,33,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/18/1997,Christie's New York,Blue abstract,Contemporary Art (Part I) Collection of Irwin & Bethea Green (Lot 113),Hammer,1947 Paintings,13836,60000,80000,55000,,USD,1947,1997,1.3586043,74723.234,1913,34,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/14/2008,Phillips de Pury & Company New York,Abstract Painting,Contemporary Art Part II (Lot 151),Premium,1947 Paintings,17850,250000,350000,314500,151,USD,1947,2008,1.0127866,318521.41,1913,34,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/8/1996,Christie's New York,Untitled,Contemporary Art (Part II) (Lot 257),Hammer,1947 Paintings,13277,,,65000,,USD,1947,1996,1.3897769,90335.5,1913,34,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/9/1983,Christie's New York,Untitled,(Lot 322),Hammer,1947 Paintings,8713,,,7500,322,USD,1947,1983,2.1893172,16419.879,1913,34,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/12/2005,Christie's New York,Abstract,Post-War & Contemporary Art - Morning Sale (Lot 207),Hammer,1948 Paintings,16568,100000,150000,160000,207,USD,1948,2005,1.1165181,178642.91,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/3/1994,Christie's New York,Untitled,Contemporary Art (Lot 44),Hammer,1948 Paintings,12541,,,170000,44,USD,1948,1994,1.4713631,250131.72,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/3/1989,Sotheby's New York,Untitled,Contemporary Pictures & Sculpture - Part II (Lot 92),Hammer,1948 Paintings,10715,,,40000,92,USD,1948,1989,1.7585161,70340.641,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/10/2010,Sotheby's New York,Untitled,Contemporary Art Day Auction (Lot 110),,1948 Paintings,18576,400000,600000,,110,USD,1948,2010,1,,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/7/1997,Christie's New York,Abstract 2,Contemporary Art (Part I) (Lot 1),Hammer,1948 Paintings,13641,60000,80000,130000,,USD,1948,1997,1.3586043,176618.56,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/7/1996,Christie's New York,Abstract No.1,Contemporary Art (Part I) (Lot 3),Hammer,1948 Paintings,13276,,,95000,,USD,1948,1996,1.3897769,132028.81,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",2/27/1981,Sotheby's New York,Abstract painting,(Lot 111),Hammer,1948 Paintings,7728,,,3600,111,USD,1948,1981,2.3988559,8635.8809,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",7/1/2010,Christie's London,Yellow Painting,Post War and Contemporary Art Day Auction (Lot 226),Premium,1948 Paintings,18444,151670,227505,238501,226,USD,1948,2010,1,238501,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/9/2012,Christie's New York,Untitled,Post-War and Contemporary Art Morning Session (Lot 212),Premium,1948 Paintings,19122,250000,350000,494500,212,USD,1948,2012,.94974607,469649.44,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/4/1993,Sotheby's New York,Untitled,Contemporary Art - Part II (Lot 298),Hammer,1948 Paintings,12177,,,47500,298,USD,1948,1993,1.5090381,71679.313,1913,35,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/12/2009,Sotheby's New York,Untitled,Contemporary Art Evening Sale (Lot 18),,Circa 1949 Paintings,18029,500000,700000,,18,USD,1949,2009,1.0164027,,1913,36,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/13/2000,Phillips New York,Untitled,Contemporary Art - Evening Sale (Lot 46),Hammer,1949 Paintings,14927,40000,60000,32000,46,USD,1949,2000,1.266295,40521.438,1913,36,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/15/2008,Sotheby's New York,Abstract Painting,Contemporary Art Day Auction (Lot 151),Premium,1949 Paintings,17667,150000,200000,265000,151,USD,1949,2008,1.0127866,268388.47,1913,36,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",7/2/2014,Christie's London,Black And White,Post-War & Contemporary Art Day Auction (Lot 148),Premium,1950 Paintings,19906,257430,343240,622122,148,USD,1950,2014,.91658682,570228.81,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/14/2014,Sotheby's New York,"Abstract Painting, 1950",Contemporary Art Evening Sale (Lot 78),Premium,1950 Paintings,19857,1000000,1500000,1445000,78,USD,1950,2014,.91658682,1324468,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/11/2011,Christie's New York,Abstract Painting,Post-War and Contemporary Art Evening Sale (Lot 50),Premium,1950 Paintings,18758,2000000,3000000,2210500,50,USD,1950,2011,.96940058,2142860,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",6/24/2004,Sotheby's London,Untitled,Contemporary Art - Day (Lot 140),Hammer,1950 Paintings,16246,91060,127484,91060,140,USD,1950,2004,1.1543462,105114.77,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",2/12/2010,Christie's London,Untitled,Post-War and Contemporary Art Day Auction (Lot 203),,1950 Paintings,18305,125592,188388,,203,USD,1950,2010,1,,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/18/1998,Sotheby's New York,Number 18,Contemporary Art Part II (Lot 235),Hammer,1950 Paintings,14201,100000,120000,75000,235,USD,1950,1998,1.3377669,100332.52,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/6/1990,Sotheby's New York,Painting no. 12,Contemporary Art Part I (Lot 2),Hammer,1950 Paintings,11267,,,200000,2,USD,1950,1990,1.6683704,333674.06,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/7/1989,Christie's New York,Abstract painting,Contemporary Art (Lot 60),Hammer,1950 Paintings,10903,,,360000,60,USD,1950,1989,1.7585161,633065.81,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/14/2000,Sotheby's New York,Abstract painting,Contemporary Art (Lot 15),Hammer,1950 Paintings,14928,350000,450000,500000,15,USD,1950,2000,1.266295,633147.5,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/25/1987,Breraarte Milan,Painting,(Lot 91),Hammer,1950 Paintings,10006,,,100000,91,USD,1950,1987,1.919507,191950.7,1913,37,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",11/11/2010,Christie's New York,"Abstract Painting, Red",Post-War and Contemporary Morning Session (Lot 152),Premium,1952 Paintings,18577,500000,700000,626500,152,USD,1952,2010,1,626500,1913,39,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
"Ad Reinhardt (b. 1913, d. 1967)",5/31/2014,Heritage Auctions Dallas,Untitled (Blue-Purple Painting),Modern & Contemporary Art Signature Auction (Lot 72046),,1952 Paintings,19874,1000000,1500000,,72046,USD,1952,2014,.91658682,,1913,39,1,499.05225,499.05225,6.2127109,,,,,,,,,,,
